1 6 11
1 11 13
1 14 6
1 19 12
1 33 17
1 35 14
1 40 18
2 17 8
2 24 18
2 32 13
2 40 9
2 49 7
2 50 17
3 8 20
3 9 5
3 21 7
3 24 20
4 6 6
4 11 13
4 14 10
4 17 19
4 23 18
4 30 11
4 50 19
5 18 9
5 20 6
5 21 15
5 23 14
5 31 5
5 37 13
5 40 18
6 1 11
6 4 6
6 13 10
6 18 20
6 26 8
6 29 14
6 34 8
6 42 6
7 8 13
7 21 10
7 28 16
7 37 13
8 3 20
8 7 13
8 45 17
8 48 9
9 3 5
9 17 12
9 26 8
9 27 6
9 29 10
9 45 16
10 13 14
10 25 13
11 1 13
11 4 13
11 14 6
11 24 10
11 26 5
11 28 19
11 37 5
11 41 6
11 44 10
11 49 6
12 19 20
12 27 12
12 33 5
12 38 8
13 6 10
13 10 14
13 17 10
13 25 12
13 34 9
13 35 17
13 46 20
13 49 10
14 1 6
14 4 10
14 11 6
14 21 8
14 24 16
15 17 20
15 25 6
15 41 9
15 43 9
15 47 18
16 17 19
16 27 8
16 49 15
17 2 8
17 4 19
17 9 12
17 13 10
17 15 20
17 16 19
17 18 20
17 28 14
17 32 16
17 43 5
18 5 9
18 6 20
18 17 20
18 28 8
18 34 13
18 38 10
18 40 8
18 42 11
18 47 16
19 1 12
19 12 20
19 25 19
19 30 10
19 31 14
19 39 6
19 44 8
19 49 15
20 5 6
20 43 12
20 49 18
21 3 7
21 5 15
21 7 10
21 14 8
21 28 19
21 42 11
22 27 13
22 30 19
22 39 8
22 47 13
22 48 8
23 4 18
23 5 14
23 29 11
23 33 7
23 43 10
23 44 9
23 45 9
23 48 5
24 2 18
24 3 20
24 11 10
24 14 16
24 26 8
25 10 13
25 13 12
25 15 6
25 19 19
25 31 11
25 36 16
25 38 16
25 40 5
26 6 8
26 9 8
26 11 5
26 24 8
26 34 6
26 35 6
26 37 6
26 46 7
26 47 8
26 49 20
27 9 6
27 12 12
27 16 8
27 22 13
27 38 20
27 47 15
28 7 16
28 11 19
28 17 14
28 18 8
28 21 19
28 50 15
29 6 14
29 9 10
29 23 11
29 30 17
29 34 12
29 39 7
29 47 19
30 4 11
30 19 10
30 22 19
30 29 17
30 38 8
30 46 12
30 47 6
31 5 5
31 19 14
31 25 11
31 45 12
32 2 13
32 17 16
32 35 9
32 36 13
32 47 9
32 48 9
33 1 17
33 12 5
33 23 7
33 39 11
34 6 8
34 13 9
34 18 13
34 26 6
34 29 12
34 36 16
34 40 5
34 44 20
35 1 14
35 13 17
35 26 6
35 32 9
36 25 16
36 32 13
36 34 16
36 43 15
37 5 13
37 7 13
37 11 5
37 26 6
37 45 16
38 12 8
38 18 10
38 25 16
38 27 20
38 30 8
39 19 6
39 22 8
39 29 7
39 33 11
40 1 18
40 2 9
40 5 18
40 18 8
40 25 5
40 34 5
40 42 12
40 47 8
40 48 12
41 11 6
41 15 9
41 43 19
41 47 9
41 50 19
42 6 6
42 18 11
42 21 11
42 40 12
43 15 9
43 17 5
43 20 12
43 23 10
43 36 15
43 41 19
43 44 19
44 11 10
44 19 8
44 23 9
44 34 20
44 43 19
45 8 17
45 9 16
45 23 9
45 31 12
45 37 16
45 50 10
46 13 20
46 26 7
46 30 12
47 15 18
47 18 16
47 22 13
47 26 8
47 27 15
47 29 19
47 30 6
47 32 9
47 40 8
47 41 9
48 8 9
48 22 8
48 23 5
48 32 9
48 40 12
49 2 7
49 11 6
49 13 10
49 16 15
49 19 15
49 20 18
49 26 20
49 50 18
50 2 17
50 4 19
50 28 15
50 41 19
50 45 10
50 49 18
